filter,site,lat,lng,device,deploy_start,shutdown_mode,flow_avg_l_min,sample_vol_L,run_time_filter_hrs,run_time_hrs,gravi_pre_ug,gravi_post_ug,gravi_diff_ug,gravi_con_ugm3,error_flag
J0058,fort collins,40.59387,-105.075,AD00099,2020-10-20T15:20:00,2,1.96,6788.61,57.571,57.57,,,,,
J0059,fort collins,40.59386,-105.075,AD00104,2020-10-20T15:40:00,0,1.96,6568,55.653,55.65,,,,,
J0060,fort collins,40.59386,-105.075,AD00090,2020-10-20T15:40:00,2,1.96,6579.2,55.932,55.93,,,,,
J0061,fort collins,40.59388,-105.075,AD00095,2020-10-20T15:40:00,2,1.96,7218.8,61.198,61.19,,,,,
J0062,fort collins,40.59386,-105.075,AD00105,2020-10-20T15:40:00,0,1.96,6610.3,55.985,55.98,,,,,
J0063,fort collins,40.59386,-105.075,AD00089,2020-10-20T15:40:00,2,1.96,7181.31,60.891,60.89,,,,,
J0064,fort collins,40.59412,-105.075,AD00098,2021-01-05T15:20:00,2,0.47,2835.8,99.895,99.89,,,,,
J0065,fort collins,40.59386,-105.075,AD00102,2020-10-20T15:40:00,2,1.96,5952.07,50.431,50.43,,,,,
J0066,fort collins,40.59385,-105.075,AD00096,2020-10-20T15:20:00,2,1.96,8214.66,69.673,69.67,,,,,
J0070,pasadena,34.41237,-118.551,AD00089,2020-12-14T19:40:00,1,1.98,149.23,1.256,1.25,,,,,
J0073,atlanta,33.68803,-84.2904,AD00096,2021-06-22T13:00:00,1,1.99,2879.39,24.004,29.39,,,,,
J0074,atlanta,33.68796,-84.2905,AD00091,2021-06-18T13:41:00,0,2,2879.85,24.004,52.46,,,,,
J0078,atlanta,33.68798,-84.2904,AD00096,2021-06-19T13:00:00,1,2,2886.86,24.004,71.53,,,,,
J0079,atlanta,33.7973,-84.3241,AD00089,2021-05-25T13:01:00,1,1.96,482.86,4.09,4.09,,,,,
J0081,pasadena,34.19942,-118.173,AD00099,2021-06-02T16:00:00,0,1.96,313.92,2.665,2.66,100476.6667,100478,1.333333333,4.247366633,
J0087,pasadena,34.19938,-118.173,AD00101,2021-10-14T16:00:00,3,1.99,2879.19,24.004,120,,,,,
J0089,pasadena,34.19938,-118.173,AD00099,2021-05-26T16:00:00,3,1.96,2825.34,24.002,120.08,100059,100118,59,20.88244247,
J0094,pasadena,34.19943,-118.173,AD00099,2021-05-19T16:00:00,3,1.96,2826.14,24,120.08,100123,100138,15,5.307592688,
J0095,pasadena,34.19944,-118.173,AD00099,2021-05-11T16:00:00,3,1.96,2825.26,24.002,120.08,97965.66667,98011,45.33333333,16.04572087,
J0099,fort collins,40.5941,-105.075,AD00105,2021-08-02T15:40:00,2,1.99,2879.7,24.004,54.08,,,,,
J0101,atlanta,33.68797,-84.2905,AD00096,2021-07-01T13:00:00,2,2,2879.84,24.004,68.82,,,,,
J0102,atlanta,33.68801,-84.2904,AD00096,2021-09-10T13:00:00,3,2,2879.85,24.004,96,100096.6667,100138,41.33333333,14.35259938,
J0103,atlanta,33.68798,-84.2904,AD00096,2021-06-24T13:00:00,3,1.99,2879.59,24.004,96,,,,,
J0107,pasadena,34.19942,-118.173,AD00099,2022-03-16T00:00:00,0,1.99,2871.15,24.004,31.99,97522.33333,97539.33333,17,5.920972433,
J0115,pasadena,34.1994,-118.173,AD00099,2021-11-22T18:01:00,3,2,2880.05,24.004,120,,,,,
J0116,pasadena,34.19943,-118.173,AD00097,2021-11-30T17:01:00,3,1.99,2879.72,24.004,120,,,,,
J0117,pasadena,34.1994,-118.173,AD00097,2021-11-22T18:01:00,3,1.99,2879.76,24.004,120,97290.33333,97333,42.66666667,14.81604949,
J0118,atlanta,33.79716,-84.3245,AD00097,2021-09-10T15:01:00,1,1.95,2905.5,24.801,24.8,96958.33333,97798.66667,840.3333333,289.2215912,
J0119,atlanta,33.68798,-84.2904,AD00096,2021-08-25T13:00:00,2,2,1846.04,15.387,15.38,97747.33333,97769,21.66666667,11.73683488,
J0120,atlanta,33.68798,-84.2904,AD00096,2021-07-14T13:00:00,3,1.99,2879.7,24.004,96,,,,,
J0121,atlanta,33.688,-84.2904,AD00096,2021-07-27T13:00:00,2,1.99,789.04,6.581,6.58,,,,,
J0122,atlanta,33.688,-84.2905,AD00091,2021-09-01T14:00:00,2,2,2879.87,24.004,65.76,97661.66667,97681.66667,20,6.944757923,
J0125,pasadena,34.19944,-118.173,AD00099,2021-11-30T17:01:00,3,2,2880.07,24.004,120,96903.66667,96971,67.33333333,23.37906139,
J0126,pasadena,34.19942,-118.173,AD00099,2021-12-07T17:00:00,3,2,2880.48,24.004,120,98919.66667,99012.33333,92.66666667,32.17056417,
J0130,atlanta,33.68801,-84.2905,AD00091,2021-10-15T13:00:00,2,2,1670.48,13.921,13.92,,,,,
J0131,atlanta,33.68802,-84.2904,AD00096,2021-09-02T13:00:00,3,1.99,2879.72,24.004,96,,,,,
J0132,atlanta,33.68795,-84.2904,AD00096,2021-07-21T13:00:00,2,1.99,2879.63,24.004,62.37,,,,,
J0133,atlanta,33.68799,-84.2904,AD00096,2021-10-01T13:00:00,2,1.99,11.99,0.1,0.1,,,,,
