"location","device","filter","day","elapsed_time","n_readings","daily_mean_pm","daily_95_pm","daily_mean_rh","daily_mean_t"
"Pretoria, South Africa","AD00103","J0142",2021-09-17,2,7,31.6,33.5,26.5,32.8
"Delhi, India","AD00096","J0102",2021-09-13,23.3,71,28.4,40.2,49,32.3
"Pretoria, South Africa","AD00104","D0907",2021-09-13,6.3,13,0.8,1.6,22.3,32.1
"Taichung, Taiwan","AD00094","D0901",2021-09-13,21.3,59,3.6,6.1,33.6,25
"Amity University Noida, India","AD00090","J0065",2021-09-12,2,7,6.9,7.7,31.4,29.5
"Delhi, India","AD00096","J0102",2021-09-12,23.7,72,20.5,30.4,45,32.2
"Pretoria, South Africa","AD00104","D0907",2021-09-12,23,65,4.5,7.4,34.4,27.6
"Taichung, Taiwan","AD00094","D0901",2021-09-12,23.7,72,6.8,10.5,29,28.2
"Tainan, Taiwan","AD00092","J0118",2021-09-12,4,13,5.9,9.8,24.6,32.7
"AASTU, Ethiopia","AD00098","J0060",2021-09-11,16,49,8.1,12.6,12.7,40.2
"Amity University Noida, India","AD00088","J0039",2021-09-11,23.3,67,7.4,12.4,27,33.9
"Amity University Noida, India","AD00090","J0065",2021-09-11,23.7,72,8.1,14.4,23.8,32.1
"Delhi, India","AD00096","J0102",2021-09-11,23.6,72,18,30.4,43.1,31.2
"Pretoria, South Africa","AD00104","D0907",2021-09-11,23.7,72,8.5,14.2,28.8,30
"Taichung, Taiwan","AD00094","D0901",2021-09-11,23.7,72,15.9,24.7,18.8,31.1
"Tainan, Taiwan","AD00092","J0118",2021-09-11,23.7,72,7.6,12.9,23,31.8
"AASTU, Ethiopia","AD00093","J0016",2021-09-10,0,1,31,31,37.5,21.5
"AASTU, Ethiopia","AD00098","J0060",2021-09-10,23.4,71,18.7,33.1,14.2,36.3
"Amity University Noida, India","AD00088","J0039",2021-09-10,0,1,31.9,31.9,41.3,21.4
"Amity University Noida, India","AD00088","J0039",2021-09-10,23.7,72,19.3,34.7,23.1,33.5
"Amity University Noida, India","AD00090","J0065",2021-09-10,24,73,20.6,36.8,18.5,32.9
"Delhi, India","AD00096","J0102",2021-09-10,24,73,13.4,23.2,42.3,30.5
"Pretoria, South Africa","AD00104","D0907",2021-09-10,15.7,48,28.2,30.9,30.3,24.8
